sku,total_sales,post_date,post_name,post_type,pays
16578,0,2018-02-28 14:57:26,domaine-de-la-tour-du-bon-bandol-saint-ferreol-2018,product,UK
15473,1,2020-01-03 17:01:21,marc-colin-et-fils-chassagne-montrachet-blanc-1cru-champs-gain-2017,product,UK
,,,,,UK
16144,0,2020-03-10 14:03:32,chateau-simone-blanc-2017,product,UK
14332,1,2018-02-14 16:45:18,ollieux-romanis-monsieur-pinot-2017,product,UK
16304,14,2019-01-30 16:32:42,philippe-nusswitz-igp-cevennes-opale-rose-2019,product,UK
16295,46,2018-02-15 14:05:06,moulin-de-gassac-igp-pays-dherault-guilhem-rose-2019,product,FR
13849,0,2019-03-13 14:05:40,huile-dolive-extra-vierge-planeta-3x-10cl,product,FR
15204,3,2020-01-18 10:54:27,thierry-germain-saumur-champigny-la-marginale-2018,product,FR
14802,0,2018-05-15 09:44:00,domaine-des-croix-beaune-1er-cru-les-cent-vignes-2017,product,FR
14945,2,2018-02-27 09:57:24,chermette-vissoux-beaujolais-blanc-collonge-2017,product,FR
16160,17,2018-02-14 17:43:30,hortus-pic-saint-loup-la-bergerie-rose-2019,product,FR
14485,5,2018-02-20 15:52:12,domaine-huet-vouvray-le-mont-sec-2017,product,FR
15361,3,2018-04-17 22:01:10,domaine-schoenheitz-muscat-2017,product,FR
15934,2,2018-04-17 16:16:34,domaine-de-joy-cotes-de-gascogne-envie-de-joy-2018,product,FR
15813,0,2018-02-13 09:57:24,paul-ginglinger-riesling-drei-exa-2018,product,FR
16191,5,2018-02-15 10:33:55,le-pas-de-lescalette-coteaux-languedoc-ze-roze-2019,product,FR
15629,9,2018-02-14 17:25:46,hortus-pic-saint-loup-la-bergerie-2018,product,FR
16553,3,2018-02-28 15:20:21,domaine-de-la-tour-du-bon-bandol-rose-2019,product,FR
16166,7,2018-02-14 17:48:16,hortus-pic-saint-loup-grande-cuvee-2018,product,FR
11668,0,2018-02-13 11:43:55,zind-humbrecht-pinot-gris-grand-cru-rangen-de-thann-clos-saint-urbain-2012,product,FR
15944,2,2019-01-15 14:47:12,weinbach-gewurztraminer-theo-2018,product,FR
12882,0,2019-03-28 17:08:38,domaine-de-montbourgeau-vin-de-paille-2013,product,FR
16317,30,2018-02-20 11:38:11,domaine-saint-denis-bourgogne-clos-coque-2018,product,FR
16525,8,2018-04-17 09:28:58,bernard-baudry-chinon-rouge-croix-boissee-2017,product,FR
,,,,,FR
15895,0,2019-04-18 09:23:08,clos-du-prieur-terrasses-du-larzac-2018,product,FR
16324,2,2018-04-17 16:47:34,matthieu-cosse-cahors-solis-2018,product,FR
14661,5,2019-01-30 16:29:06,philippe-nusswitz-duche-uzes-orenia-rouge-reserve-2016,product,FR
16322,0,2018-02-15 13:51:32,moulin-gassac-igp-pays-herault-guilhem-rouge-2019,product,FR
15147,1,2018-04-13 13:59:17,catherine-et-claude-marechal-ladoix-rouge-les-chaillots-2017,product,FR
15148,0,2018-04-13 14:16:01,catherine-et-claude-marechal-savigny-les-beaune-rouge-2016,product,FR
,,,,,FR
16093,0,2018-02-13 14:48:58,8planeta-sicilia-etna-rosso-2018,product,FR
14865,3,2018-02-27 13:53:06,i-fabbri-chianti-classico-riserva-2015,product,FR
,,,,,FR
13854,0,2018-03-02 11:03:30,champagne-larmandier-bernier-vieilles-vignes-levant-2008,product,FR
16537,2,2018-02-27 10:56:17,domaine-bulliat-morgon-amphore-cou-de-jus-2019,product,FR
14930,3,2018-06-07 17:11:47,chateau-lafont-menaut-pessac-leognan-blanc-2017,product,FR
16239,1,2018-04-17 16:36:10,chateau-plaisance-fronton-rose-2019,product,FR
15672,0,2018-02-16 10:38:32,domaine-de-lecu-muscadet-granite-2018,product,FR
15306,2,2018-02-16 14:22:18,pierre-martin-sancerre-rouge-2017,product,FR
12599,1,2018-02-16 10:46:59,domaine-de-lecu-muscadet-orthogneiss-2014,product,FR
,,,,,FR
,3,2018-08-08 11:23:43,pierre-jean-villa-condrieu-suspendu-2018,product,FR
15441,9,2018-02-15 11:47:07,chateau-de-la-liquiere-faugeres-rouge-2017,product,FR
16229,0,2018-04-18 22:15:13,domaine-saint-nicolas-fiefs-vendeens-rouge-reflets-2018,product,FR
15655,0,2018-02-15 14:21:07,mas-de-daumas-gassac-igp-saint-guilhem-le-desert-blanc-2019,product,FR
12588,0,2018-03-02 10:00:02,champagne-egly-ouriet-extra-brut-vp,product,FR
13211,0,2019-04-18 17:36:03,zind-humbrecht-riesling-clos-windsbuhl-2014,product,FR
15185,0,2019-03-13 14:43:22,camille-giroud-clos-de-vougeot-2016,product,FR
19814,3,2018-02-09 14:01:05,pierre-jean-villa-igp-gamine-2018,product,FR
14897,0,2020-04-24 21:18:32,gratavinum-priorat-gv5-2011,product,FR
15756,1,2018-10-09 15:02:42,david-beaupere-julienas-vayolette-2017,product,FR
14915,0,2019-01-15 15:30:49,domaine-weinbach-gewurztraminer-gc-furstentum-sgn-2010,product,FR
15292,1,2018-02-28 13:43:33,domaine-hauvette-igp-alpilles-jaspe-2017-2,product,FR
14856,3,2019-01-15 16:00:35,albert-boxler-cremant-2014,product,ES
14241,1,2019-01-31 14:57:35,albert-mann-gewurztraminer-vendanges-tardives-altenbourg-2015,product,ES
15791,1,2020-01-23 11:39:24,weingut-besson-strasser-zurich-fume-2017,product,ES
3510,13,2018-03-22 11:21:05,cognac-frapin-vip-xo,product,ES
13914,0,2018-07-18 10:39:43,champagne-agrapart-fils-lavizoise-grand-cru-2012-extra-brut-blanc-de-blancs,product,ES
,,,,,ES
15845,1,2020-04-25 12:43:23,chateau-jean-faure-saint-emilion-grand-cru-2016,product,ES
15567,1,2018-02-28 15:13:09,domaine-de-la-tour-du-bandol-en-sol-2017,product,ES
15952,3,2018-05-11 15:05:32,jacqueson-rully-rouge-les-chaponnieres-2018,product,ES
15753,0,2018-10-09 14:59:27,david-beaupere-julienas-bottiere-2018,product,ES
16246,0,2018-02-28 14:46:15,la-tour-du-bon-bandol-blanc-2019,product,ES
15797,0,2019-01-30 16:47:30,planeta-sicilia-etna-bianco-2018,product,ES
15574,0,2019-04-18 11:39:43,ancienne-cure-bergerac-blanc-sec-2016,product,FR
15958,2,2018-06-02 09:28:24,chateau-turcaud-bordeaux-rouge-2016,product,FR
15415,6,2018-02-15 14:33:42,mas-laval-igp-pays-herault-pampres-blanc-2018,product,FR
15282,1,2018-04-17 15:56:56,domaine-rotier-gaillac-rouge-les-gravels-2016,product,FR
,,,,,FR
15720,0,2018-02-16 09:43:40,lucien-boillot-nuits-saint-georges-1ercru-pruliers-2017,product,FR
,,,,,FR
13209,0,2018-02-13 11:49:42,zind-humbrecht-muscat-gc-goldert-2015,product,FR
12771,0,2018-04-19 14:41:18,maurice-schoech-riesling-grand-cru-rangen-de-thann-2016,product,FR
15070,0,2019-07-25 09:31:09,domaine-des-comtes-lafon-volnay-1er-cru-champans-2016,product,FR
14679,4,2018-10-09 14:05:15,domaine-saint-nicolas-fiefs-vendeens-rouge-grande-piece-2013,product,FR
13096,1,2018-04-19 13:29:50,maurice-schoech-cremant-dalsace-brut-rose-bulles-de-granite,product,FR
15487,1,2019-06-04 17:04:39,chateau-de-villeneuve-saumur-champigny-2017,product,FR
11736,0,2019-01-31 13:19:51,domaine-de-lecu-muscadet-taurus-2012,product,FR
16244,0,2018-02-27 13:09:12,serol-cote-roannaise-originelles-2019,product,FR
3568,10,2018-04-19 14:48:15,emile-boeckel-cremant-brut-rose,product,FR
15436,0,2018-02-20 09:49:21,domaine-augustin-collioure-rouge-adeodat-2017,product,FR
,,,,,
16539,5,2019-03-28 10:42:01,thevenet-quintaine-vire-clesse-emilian-gillet-2017,product,GER
14570,0,2019-06-28 18:01:06,moulin-de-gassac-igp-pays-dherault-guilhem-blanc-2017,product,GER
16043,1,2018-02-12 10:41:11,pierre-gaillard-saint-joseph-2018,product,GER
15870,0,2018-07-17 10:14:28,david-duband-nuits-saint-georges-2017,product,GER
15264,3,2019-03-13 15:12:41,decelle-villa-auxey-blanc-2017,product,GER
14366,0,2018-04-18 21:00:55,jean-paul-brun-beaujolais-le-ronsay-2016,product,GER
15647,7,2020-01-04 10:02:37,saumaize-michelin-pouilly-fuisse-ampelopsis-2016,product,GER
,,,,,GER
12587,3,2018-03-02 10:37:26,champagne-egly-ouriet-grand-cru-brut-rose,product,GER
14955,1,2019-03-19 11:43:49,le-puy-cotes-de-francs-emilien-2016,product,GER
13215,0,2019-04-18 17:05:30,zind-humbrecht-pinot-gris-windsbuhl-2013,product,GER
15486,0,2019-06-04 17:23:20,chateau-de-villeneuve-saumur-champigny-bienboire-2018,product,GER
15183,1,2019-03-13 14:49:54,camille-giroud-maranges-1er-cru-le-croix-moines-2016,product,GER
,,,,,GER
15670,0,2018-04-17 22:14:29,domaine-schoenheitz-pinot-noir-val-saint-gregoire-2017,product,GER
11049,0,2018-04-13 16:07:49,alphonse-mellot-sancerre-rouge-en-grands-champs-2012,product,GER
15794,1,2020-01-23 12:06:12,weingut-besson-strasser-zurich-pinot-noir-chlosterberg-2016,product,GER
15946,0,2018-02-28 16:42:41,domaine-de-lidylle-savoie-mondeuse-2018,product,GER
5646,0,2018-04-18 20:24:22,domaine-mure-cremant-dalsace-cuvee-prestige,product,GER
14100,0,2019-06-08 09:39:05,stephane-tissot-arbois-trousseau-amphore-2017,product,GER
,,,,,GER
15462,0,2018-09-06 10:45:03,chili-valdivieso-merlot-2017,product,GER
16565,0,2019-07-24 09:28:46,domaine-giudicelli-vin-de-france-corail-rouge-2019,product,GER
16081,0,2018-04-17 10:38:36,pierre-martin-sancerre-les-monts-damnes-2018,product,GER
,,,,,GER
13074,0,2018-02-12 14:25:28,chateau-de-vaudieu-chateauneuf-du-pape-lavenue-2015,product,GER
16585,3,2018-02-16 14:03:16,xavier-frissant-touraine-sauvignon-2019,product,GER
11602,0,2018-07-17 10:52:41,domaine-des-comtes-lafon-volnay-1er-cru-santenots-du-milieu-2013,product,GER
15145,0,2018-04-13 14:31:47,francois-bergeret-hautes-cotes-de-beaune-rouge-2017,product,GER
13736,1,2018-04-17 17:05:09,domaine-plageoles-cotes-du-tarn-blanc-sec-ondenc,product,GER
16256,8,2018-02-15 12:02:37,chateau-de-la-liquiere-faugeres-les-amandiers-rose-2019,product,GER
15665,2,2018-02-27 10:30:04,chermette-domaine-du-vissoux-moulin-a-vent-trois-roches-2018,product,GER
523,0,2019-04-06 15:25:58,cognac-normandin-mercier-vfc,product,GER
