product_id,price,stock_status
5001,"217,5",instock
5002,"64,9",instock
5003,"48,7",instock
5004,"59,4",instock
5006,"48,7",outofstock
5007,105,instock
5008,105,instock
5010,"55,6",instock
5016,"9,3",instock
5017,-8,outofstock
5018,"15,4",outofstock
5019,"19,8",outofstock
5020,10,outofstock
5021,"17,1",outofstock
5024,45,outofstock
5025,112,outofstock
5026,"86,8",instock
5027,"62,1",outofstock
5047,"22,5",instock
5056,"7,5",instock
5061,"52,6",instock
5062,45,instock
5063,67,outofstock
5067,"59,9",outofstock
5068,"59,9",instock
5069,65,instock
5070,"84,7",outofstock
5075,"43,3",outofstock
5375,"15,2",outofstock
5377,19,instock
5379,"11,1",instock
5380,18,instock
5382,"22,8",instock
5383,"19,5",instock
5384,"28,8",outofstock
5389,"16,1",instock
5391,"24,2",instock
5393,"35,3",instock
5394,"10,7",instock
5395,"12,7",instock
5396,"17,1",instock
5397,24,instock
5398,39,instock
5439,"13,2",outofstock
5443,"23,6",instock
5444,"15,5",instock
5445,"16,3",instock
5446,"16,2",instock
5448,"7,2",outofstock
5465,"54,8",instock
5474,42,outofstock
5477,"19,8",instock
5479,"10,2",instock
5480,"10,4",instock
5481,"11,5",instock
5483,"17,9",instock
5484,"21,6",outofstock
5485,"33,4",instock
5486,"49,5",instock
5487,"43,5",instock
5488,"43,5",instock
5491,"26,5",instock
5504,"13,8",instock
5505,"10,1",outofstock
5506,"18,2",instock
5519,"12,9",instock
5520,"38,6",instock
5522,"48,4",instock
5523,"60,4",instock
5524,"38,6",outofstock
5525,12,outofstock
5544,"61,6",outofstock
5545,"65,9",outofstock
5546,"15,2",instock
5547,"24,6",instock
5548,"48,8",instock
5550,"34,3",outofstock
5551,"36,3",instock
5552,"57,7",instock
5554,38,instock
5559,"27,9",instock
5560,47,instock
5561,58,outofstock
5563,58,outofstock
5564,"30,8",instock
5565,92,outofstock
5566,"27,5",instock
5569,"19,9",instock
5570,"22,5",outofstock
5573,"34,7",instock
5574,"59,6",instock
5580,"83,7",instock
5608,"30,5",instock
5609,"38,6",instock
5610,18,instock
5611,"63,4",instock
5612,"124,8",instock
5613,"19,2",instock
5614,"19,2",instock
5615,"56,4",instock
5616,"38,4",instock
5617,"27,8",instock
5618,"71,3",instock
5619,"71,3",instock
5628,25,instock
5629,"10,3",instock
5630,28,instock
5690,"44,6",instock
5693,13,instock
5694,"12,7",instock
5695,"6,5",instock
5696,"17,5",instock
5697,"29,9",instock
5700,"44,5",outofstock
5703,"29,4",instock
5704,"16,9",instock
5705,"19,8",instock
5706,"10,3",instock
5707,"10,8",instock
5709,"31,7",outofstock
5711,25,instock
5712,"57,6",outofstock
5715,"13,7",instock
5722,"7,1",instock
5736,"14,9",instock
5737,11,instock
5738,"14,6",instock
5739,"10,7",instock
5741,"73,3",outofstock
5742,"42,1",outofstock
5743,57,outofstock
5747,"24,5",instock
5753,"10,1",instock
5756,"42,2",instock
5760,"13,1",instock
5761,"19,5",outofstock
5764,"12,9",instock
5766,"35,6",instock
5767,175,instock
5768,"35,6",outofstock
5769,"33,6",outofstock
5770,"34,4",instock
5771,"38,4",instock
5772,"29,7",instock
5773,"32,8",instock
5777,"5,7",instock
5778,"5,8",instock
5779,"5,8",instock
5794,"21,7",instock
5795,23,instock
5796,"12,5",instock
5797,"17,2",instock
5799,"40,2",outofstock
5800,"32,3",outofstock
5801,24,instock
5802,"23,8",instock
5803,"17,1",instock
5804,25,outofstock
5805,"29,2",outofstock
5806,"17,4",outofstock
5807,"27,3",instock
5808,"34,2",instock
5809,"17,9",outofstock
5810,24,instock
5815,"16,6",instock
5816,"16,9",instock
5817,"57,6",instock
5818,"63,5",instock
5819,56,instock
5820,"63,5",instock
5826,"41,2",outofstock
5827,55,instock
5829,57,instock
5890,"19,3",instock
5891,19,instock
5892,"191,3",instock
5893,"26,6",instock
5894,"15,4",instock
5896,"24,7",instock
5899,"28,1",outofstock
5900,"18,25",outofstock
5902,"35,1",instock
5903,"27,3",instock
5904,"18,8",instock
5905,"43,9",outofstock
5906,"19,8",outofstock
5907,"17,7",instock
5912,57,instock
5913,36,instock
5914,36,instock
5916,93,instock
5917,122,instock
5918,114,instock
5922,"48,5",outofstock
5925,"49,5",instock
5930,"14,1",instock
5932,"59,9",instock
5950,46,outofstock
5951,"74,5",instock
5952,"42,5",outofstock
5953,"47,5",outofstock
5954,"18,8",outofstock
5955,"27,3",outofstock
5956,"17,2",instock
5957,39,outofstock
5958,"8,7",instock
5959,"15,4",instock
5960,"12,7",instock
5962,30,instock
5963,"13,5",instock
5964,"16,3",instock
5967,"56,3",instock
5968,"71,5",instock
5969,69,outofstock
6035,"17,9",instock
6038,"48,5",instock
6041,"71,7",instock
6042,"8,5",outofstock
6047,"10,9",instock
6049,"21,8",instock
6050,"38,5",outofstock
6070,"9,3",instock
6072,"13,6",instock
6073,"24,5",instock
6093,"12,6",outofstock
6094,"13,4",instock
6095,"29,8",instock
6100,"12,9",outofstock
6101,"36,9",instock
6103,"40,7",outofstock
6104,"33,2",outofstock
6105,"34,8",instock
6106,"74,8",instock
6107,"62,4",instock
6108,46,outofstock
6109,"39,2",outofstock
6125,"14,2",outofstock
6126,135,instock
6127,"10,6",instock
6128,"10,6",instock
6129,"5,2",instock
6137,46,outofstock
6201,"105,6",instock
6202,"116,4",instock
6204,31,instock
6205,"20,2",instock
6206,"25,2",instock
6207,"25,2",instock
6212,115,instock
6213,121,instock
6214,99,instock
6215,115,instock
6216,121,instock
6221,"23,5",instock
6222,"26,4",instock
6223,"26,7",instock
6225,"20,4",outofstock
6226,"20,4",outofstock
6227,"40,2",instock
6278,9,instock
6279,"45,9",instock
6280,"10,4",outofstock
6299,78,instock
6301,"40,5",instock
6324,92,instock
6325,"27,9",instock
6327,"28,5",outofstock
6328,"22,4",instock
6567,"28,4",instock
6568,72,instock
6569,29,instock
6570,"29,2",outofstock
6572,44,outofstock
6573,"68,3",instock
6575,"41,8",instock
6578,40,outofstock
6584,"13,5",instock
6585,19,instock
6592,"24,4",instock
6594,-1,instock
6615,"32,8",instock
6616,"15,4",instock
6617,"9,9",instock
6618,"13,5",instock
6620,51,instock
6621,"35,2",instock
6622,"42,2",instock
6626,"33,2",instock
6627,"41,8",instock
6628,"32,2",instock
6629,"37,7",instock
6631,"47,2",instock
6632,"52,7",instock
6635,"22,4",instock
6663,"50,4",instock
6664,"35,6",instock
6665,"27,7",instock
6666,"48,5",instock
6738,"15,4",instock
6751,"46,5",outofstock
6753,"46,5",instock
6821,28,instock
6824,28,instock
6825,24,instock
6826,18,instock
6864,40,instock
6866,40,instock
6869,40,instock
6875,40,instock
6884,"46,5",instock
6886,42,outofstock
6887,"21,8",instock
6898,30,instock
6899,26,instock
6900,30,outofstock
6901,20,outofstock
6902,31,instock
6903,27,instock
6904,31,instock
6905,21,instock
6906,31,instock
6907,27,instock
6908,31,instock
6909,21,instock
6920,"50,5",instock
6926,"49,9",instock
6928,19,instock
6930,"8,4",instock
7008,40,instock
7009,40,instock
7010,47,instock
7015,45,instock
7023,"27,5",instock
7025,69,instock
7081,45,instock
7084,45,instock
7085,30,instock
7086,26,instock
7087,30,instock
7088,20,instock
7131,45,instock
7132,45,instock
7133,45,instock
7136,45,instock
7137,45,instock
7159,31,instock
7161,21,instock
7162,27,instock
7163,31,instock
7164,31,instock
7168,45,instock
7169,45,instock
7170,45,instock
7192,31,instock
7193,27,instock
7194,31,instock
7195,21,instock
7196,31,instock
7200,31,instock
7201,31,instock
7203,45,instock
7204,45,instock
7247,"54,8",instock
7329,"26,5",instock
7338,"16,3",instock
